Gibraltar; Tripoli; 15000 km; 75; 5
Gibraltar; Abu Talat; 15000 km; 75; 5
Girne; Mersin; 110 km; 15; 1
Girvan; Larne; 82 km; 15; 1
Glen Lyon; BP Clair Ridge; 1000 km; 15; 1
Glenbarr; Lagavulin; 402 km; 15; 1
Golden Bay; Mgarr ix-Xini; 13 km; 15; 1
Goonhilly Downs; St. Ouens Bay; 237 km; 15; 1
Goonhilly Downs; Ostend; 39000 km; 45; 3
Goonhilly Downs; Norden; 39000 km; 45; 3
Goonhilly Downs; Penmarch; 39000 km; 45; 3
Governors Harbor; Sandy Point; 2817 km; 60; 4
Governors Harbor; Nassau; 2817 km; 60; 4
Governors Harbor; Cat Island; 2817 km; 60; 4
Governors Harbor; George Town; 2817 km; 60; 4
Graciosa; Corvo;  685 km; 15; 1
Graciosa; Velas; 1100 km; 30; 2
Graciosa; Angra do Heroismo; 1100 km; 30; 2
Gran Canaria; Lanzarote; 210 km; 15; 1
Granadilla; San Sebastian de la Gomera; 222 km; 15; 1
Granadilla; Santa Cruz de La Palma; 1835 km; 150; 6 
Granadilla; Tinocas; 1835 km; 150; 6 
Granadilla; Alta Vista; 1835 km; 150; 6 
Granadilla; Güimar; 1835 km; 150; 6 
Granadilla; Asilah; 1835 km; 150; 6 
Granadilla; Rota; 1835 km; 150; 6 
Granadilla; Carcavelos; 17000 km; 45; 3
Granadilla; Nouakchott; 17000 km; 45; 3
Granadilla; Dakar; 17000 km; 45; 3
Grand Baie (Rodrigues); Baie Jacotet; 677 km; 15; 1
Great Bay Beach; Gustavia; 198 km; 30; 2
Great Bay Beach; Great Level Bay; 198 km; 30; 2
Great Bay; Flamingo Bay; 183 km; 30; 2
Great Bay; Christiansted; 183 km; 30; 2
Great Nicobar; Kamorta; 2300 km; 15; 1
Greve de Lecq; Havelet Bay; 64 km; 15; 1
Greve de Lecq; Saints Bay; 36 km; 15; 1
Grindavik; Caithness; 2000 km; 45; 3
Grindavik; Øysanden; 2000 km; 45; 3
Grindavik; Killala; 2000 km; 45; 3
Groudle Bay; Silecroft Beach; 80 km; 30; 2
Groudle Bay; Peel; 80 km; 30; 2
Grover Beach; Harbour Pointe; 21000 km; 30; 2
Grover Beach; Shima; 21000 km; 30; 2 
Grover Beach; Chung Hom Kok; 15393 km; 45; 3
Grover Beach; Cherating; 15393 km; 45; 3
Grover Beach; Changi North; 15393 km; 45; 3
Grover Beach; Fort Amador; 10000 km; 60; 4 
Grover Beach; Mazatlán; 10000 km; 60; 4 
Grover Beach; Tijuana; 10000 km; 60; 4 
Grover Beach; Unqui; 10000 km; 60; 4 
Guantanamo Bay; Dania Beach; 1528 km; 15; 1
Guantanamo Bay; Punta Salina; 1400 km; 15; 1
Guanyin Mountain; Lake Ci; 21 km; 15; 1
Güimar; Alta Vista; 1835 km; 60; 4
Güimar; Granadilla; 1835 km; 60; 4
Güimar; Asilah; 1835 km; 60; 4
Güimar; Rota; 1835 km; 60; 4
Guningtou; Lake Ci; 21 km; 30; 2
Guningtou; Dadeng Island; 21 km; 30; 2
Gustavia; St. Louis; 0 km; 15; 1
Gustavia; Great Bay Beach; 198 km; 15; 1
Gwadar; Fujairah; 1300 km; 30; 2 
Gwadar; Karachi; 1300 km; 30; 2 
Gwadar; Karachi; 15000; 200; 8
Gwadar; Bosaso; 15000; 200; 8
Gwadar; Hobyo; 15000; 200; 8
